,"loc","geocoded"
0,"Moskva","(55.7504461, 37.6174943)"
1,"Sankt-Peterburg","(59.938732, 30.316229)"
2,"Jaroslavl'","(57.6263877, 39.8933705)"
3,"Kovrov","(56.374603, 41.311676)"
4,"Nizhnij Novgorod","(56.313186, 44.015126)"
5,"Vladimir","(56.1288899, 40.4075203)"
6,"Ekaterinburg","(56.839104, 60.60825)"
7,"Tula","(45.2678158, 1.7706904)"
8,"Lipetsk","(52.6041877, 39.5936899)"
9,"Nizhnij Tagil","(57.908163, 59.984984)"
10,"Phuket (Tailand)","(7.9366015, 98.3529292)"
11,"Voronezh","(51.6605982, 39.2005858)"
12,"Cherepovets","(59.128696, 37.916389)"
13,"Ljubertsy","(55.6783142, 37.89377)"
14,"Blagoveschensk","(50.290527, 127.527161)"
15,"Belogorsk","(45.0584385, 34.594959)"
16,"Vladivostok","(43.1150678, 131.8855768)"
17,"Balashiha","(55.8179703, 37.9641852)"
18,"Zheleznodorozhnyj","(55.743682, 38.007925)"
19,"Elektrostal'","(55.7903785, 38.4405711)"
20,"Pavlovskij Posad","(55.7813357, 38.6507838)"
21,"Noginsk","(55.8553511, 38.4411898)"
22,"Egor'evsk","(55.3829765, 39.0356223)"
23,"Voskresensk","(55.322518, 38.6816824)"
24,"Smolensk","(54.77897005, 32.0471812191562)"
25,"Safonovo (Smolenskaja oblast')","(55.105072, 33.242610)"
26,"Jartsevo","(55.061489, 32.687727)"
27,"Abinsk ","(44.8649528, 38.1578189)"
28,"Ahtyrskaja",
29,"Severskaja","(44.852479, 38.677951)"
30,"Krymsk","(44.9295889, 37.9880177)"
31,"Anapa ","(44.894272, 37.316887)"
32,"Novorossijsk","(44.7239578, 37.7690711)"
33,"Varenikovskaja","(45.115404, 37.645910)"
34,"Holmskaja","(44.847894, 38.387790)"
35,"Ufa","(46.37093535, 6.23116849372243)"
36,"Orenburg","(51.767452, 55.097118)"
37,"Omsk","(54.991375, 73.371529)"
38,"Sterlitamak","(53.632374, 55.952259)"
39,"Samara","(53.198627, 50.113987)"
40,"Stavropol'","(45.0433245, 41.9690934)"
41,"Sudak","(44.8488369, 34.971099)"
42,"Evpatorija","(45.189256, 33.363395)"
43,"Sevastopol'","(44.6054434, 33.5220842)"
44,"Jalta","(44.4970713, 34.1586871)"
45,"Feodosija","(45.05008335, 35.3664387426081)"
46,"Alushta","(44.677112, 34.4095393)"
47,"Simferopol'","(44.9521457, 34.1024858)"
48,"Pjatigorsk","(44.039775, 43.0706669)"
49,"Kerch'","(45.3435783, 36.4170442)"
50,"Kostroma","(57.7679158, 40.9269141)"
51,"Tver'","(56.858675, 35.9208284)"
52,"Chajkovskij",
53,"Solnechnogorsk","(56.1854031, 36.9781174)"
54,"Klin","(56.3355543, 36.7352147)"
55,"Votkinsk","(57.052505, 53.990612)"
56,"Izhevsk","(56.866557, 53.2094166)"
57,"Perm'","(58.014965, 56.246723)"
58,"Mytischi","(55.919188, 37.759813)"
59,"Schelkovo","(55.90582245, 38.059731741058)"
60,"Himki","(55.8892847, 37.4449896)"
61,"Obninsk","(55.0951738, 36.611913)"
62,"Krasnodar","(45.0352566, 38.9764814)"
63,"Kazan'","(55.7823547, 49.1242266)"
64,"Al'met'evsk","(54.9005008, 52.2963777)"
65,"Krasnogorsk","(55.821744, 37.3404142)"
66,"Joshkar-Ola","(56.641046, 47.878803)"
67,"Gelendzhik","(44.5609447, 38.0766832)"
68,"Tuapse","(44.0984747, 39.0718875)"
69,"Aprelevka","(55.5454564, 37.0729156)"
70,"Cheboksary","(56.1307195, 47.2449597)"
71,"Dzerzhinsk","(56.28326305, 43.5529609792707)"
72,"Naberezhnye Chelny","(55.7420117, 52.3992173)"
73,"Kaluga","(54.5101087, 36.2598115)"
74,"Artem","(48.0172303, 37.8018221)"
75,"Tjumen'","(57.153534, 65.542274)"
76,"Langepas","(61.247257, 75.189278)"
77,"Velikij Novgorod","(58.5209862, 31.2757862)"
78,"Orsk","(51.2305015, 58.4738015)"
79,"Petrozavodsk","(61.790039, 34.390007)"
80,"Tobol'sk","(58.1998048, 68.2512924)"
81,"Dolgoprudnyj","(55.9341491, 37.5142417)"
82,"Pskov","(57.817398, 28.334368)"
83,"Kiev","(50.4500336, 30.5241361)"
84,"Kolomna","(55.0938743, 38.7670121)"
85,"Petropavlovsk-Kamchatskij","(53.043300, 158.669735)"
86,"Severodvinsk","(64.563385, 39.823769)"
87,"Rostov-na-Donu","(47.2213858, 39.7114196)"
88,"Domodedovo","(55.444794, 37.754272)"
89,"Korolev","(55.9204898, 37.8326289)"
90,"Ivanovo","(55.45864, 27.84262)"
91,"Novomoskovsk","(54.011013, 38.290943)"
92,"Moskovskij","(53.8488197, 39.5034008)"
93,"Troitsk (Moskovskaja Oblast')","(55.489767, 37.303698)"
94,"Kotlas","(61.252151, 46.647629)"
95,"Arhangel'sk","(64.543022, 40.537121)"
96,"Rjazan'","(54.6295687, 39.7425039)"
97,"Gus'-Hrustal'nyj","(55.6149968, 40.6708665)"
98,"Balabanovo","(55.1783579, 36.6575564)"
99,"Vyborg","(60.709217, 28.744051)"
100,"Sochi","(43.5854823, 39.723109)"
101,"Dzerzhinskij","(55.626203, 37.846803)"
102,"Kstovo","(56.149551, 44.198032)"
103,"Podol'sk","(55.4308841, 37.5453056)"
104,"Ramenskoe","(55.5709361, 38.2282099)"
105,"Zelenograd","(55.9964173, 37.1984616)"
106,"Orehovo-Zuevo","(55.8083278, 38.9790038)"
107,"Likino-Dulevo","(55.7043101, 38.9569091)"
108,"Syktyvkar","(61.7411382, 50.7257793353582)"
109,"Ulan-Ude","(51.8357841, 107.5839105)"
110,"Uhta","(63.58317295, 53.7205047386828)"
111,"Novyj Urengoj","(66.097361, 76.653124)"
112,"Chita","(52.033409, 113.500893)"
113,"Astrahan'","(46.349854, 48.031567)"
114,"Volgograd","(48.710678, 44.516804)"
115,"Barnaul","(53.347402, 83.7784496)"
116,"Angarsk","(52.5311117, 103.8826109)"
117,"Saratov","(51.530018, 46.034683)"
118,"Krasnojarsk","(56.0090968, 92.8725147)"
119,"Armavir","(40.15651275, 44.0377010414005)"
120,"Habarovsk","(48.481403, 135.076935)"
121,"Tomsk","(56.488712, 84.952324)"
122,"Kislovodsk","(43.9128743, 42.7192186)"
123,"Essentuki","(44.0468389, 42.8565018)"
124,"Novosibirsk","(55.0282171, 82.9234509)"
125,"Gatchina","(59.5706273, 30.1305083)"
126,"Cheljabinsk","(55.164632, 61.440264)"
127,"Kirov","(58.6035257, 49.6639029)"
128,"Irkutsk","(52.289597, 104.280586)"
129,"Nevinnomyssk","(44.6293247, 41.9473734561095)"
130,"Minsk","(53.902334, 27.5618791)"
131,"Almaty","(43.2363924, 76.9457275)"
132,"Golitsino","(52.7052642, 44.3885156)"
133,"Frjanovo","(56.134393, 38.437913)"
134,"Frjazino","(55.954618, 38.0567691)"
135,"Adler","(50.1153655, 14.408996)"
136,"Tambov","(52.72879, 41.45536)"
137,"Brjansk","(53.2423778, 34.3668288)"
138,"Penza","(53.200001, 45.0)"
139,"Novokuznetsk","(53.757607, 87.136101)"
140,"Naro - Fominsk","(55.3879473, 36.7398309)"
141,"Pushkin","(59.722256, 30.415731)"
142,"Kolpino","(59.748444, 30.604479)"
143,"Tol'jatti","(53.51495, 49.407574)"
144,"Ul'janovsk","(54.3107593, 48.3642771)"
145,"Korjazhma","(61.3151659, 47.1607626)"
146,"Kaliningrad","(54.7066422, 20.5105166)"
147,"Kemerovo","(55.355125, 86.087234)"
148,"Bratsk","(56.1517085, 101.6334907)"
149,,
150,"Shuja","(15.795457, 43.735785)"
151,"Karaganda","(49.816592, 73.1044754)"
152,"Odintsovo","(55.6711507, 37.2727963)"
153,"Mineral'nye Vody","(44.2107377, 43.134969)"
154,"Georgievsk","(44.147438, 43.454683)"
155,"Pushkino","(56.0104274, 37.8461892)"
156,"Ivanteevka","(55.975980, 37.913573)"
157,"Elektrougli","(55.7184467, 38.2228192)"
158,"Magnitogorsk","(53.4242184, 58.983136)"
159,"Groznyj","(43.316845, 45.698967)"
160,"Otpravka po RF",
161,"Kursk","(51.739433, 36.179604)"
162,"Orel","(52.9685433, 36.0692477)"
163,"Kopejsk","(55.122373, 61.631640)"
164,"Belgorod","(50.595299, 36.586933)"
165,"Klintsy","(52.758511, 32.240097)"
166,"Roslavl'","(53.9448678, 32.8479317285327)"
167,"Schekino","(54.0099152, 37.5008103)"
